level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,sweep,run_type,i_low_mA,seeded
950,100,4,0,30.0,951.2541505376342,4.161116021505377,4.374347296307278,100.1,4.063665,944.442,4.30271525408654,3.8378958999300004,4.726158305671139,1818.425617,1818.525617,2026-07-31T19:28:54.643141+00:00,905.3573683730792,-4123.3294699932885,1.8305957407407405,2.138847,0.30825125925925967,179.45494798931372,30.218148369353848,0,0,1,93,sweep_20260731_145838,map,100,1
950,100,5,0,30.0,947.7830543478261,4.162013565217391,4.3913146010837805,99.8,4.100162,944.5559999999999,4.340835270751549,3.872832618072,4.626673099948176,1849.477706,1849.577706,2026-07-31T19:29:25.673189+00:00,882.8985938478932,-4147.068355921139,1.8225014021164023,2.119505,0.29700359788359787,178.6614526891167,29.115530001874173,0,0,1,92,sweep_20260731_145838,map,100,1
950,100,6,0,30.0,952.2832105263155,4.161010263157895,4.369509214446985,100.2,4.09985,951.394,4.309308236125097,3.9005726909,4.69242053332835,1880.533037,1880.633037,2026-07-31T19:29:56.706477+00:00,878.677454059175,-4193.345837190321,1.808579723404255,2.105111,0.29653127659574485,177.2966979955428,29.06922792093979,0,0,1,95,sweep_20260731_145838,map,100,1
150,200,1,1,30.0,155.45211428571426,0.7140558285714287,4.593413424143109,103.6,0.7092510000000001,151.362,4.68579299956396,0.10735364986200001,4.498463930464755,1936.855715,1937.055715,2026-07-31T19:30:52.951918+00:00,87.99256045703441,-4362.568656575043,1.7586973492063496,1.789016,0.03031865079365037,172.40668395910325,2.972164623894017,0,0,0,70,sweep_20260731_145838,map,100,1
150,200,2,0,30.0,151.49997461928936,0.7056984010152284,4.658076034590815,101.0,0.6967855000000001,152.97899999999998,4.554778760483466,0.1065935490045,4.675666837950203,1968.145998,1968.345998,2026-07-31T19:31:24.220086+00:00,-40.549526849834365,-4145.741367651001,1.8247507830687832,1.833588,0.008837216931216751,178.8819615283071,0.8663203292060901,0,0,0,197,sweep_20260731_145838,map,100,1
150,200,3,0,30.0,151.00674489795918,0.6965855765306121,4.612943461573989,100.7,0.6780335,148.894,4.553800018805324,0.10095511994899999,4.670600707376796,1999.306808,1999.506808,2026-07-31T19:31:55.358872+00:00,28.573219160216468,-4191.350454679323,1.8074362486772484,1.826572,0.019135751322751693,177.18460213893434,1.8758949242235727,0,0,0,196,sweep_20260731_145838,map,100,1
150,200,4,0,30.0,150.26712886597937,0.7012115309278352,4.666433279318416,100.2,0.6831685000000001,148.43200000000002,4.6025688530775035,0.10140406679200002,4.679148777300729,2030.463132,2030.663132,2026-07-31T19:32:26.493176+00:00,19.720287124453534,-4225.563376658964,1.799820121693122,1.810443,0.010622878306878025,176.4379863562147,1.0413703209460217,0,0,0,194,sweep_20260731_145838,map,100,1
150,200,5,0,30.0,151.55924456521737,0.7147698641304348,4.716108649003344,101.0,0.697781,150.133,4.647752326270706,0.10475995487300001,4.720106613631547,2061.621883,2061.821883,2026-07-31T19:32:57.629905+00:00,46.216654239260606,-4209.618643961127,1.8032874361702127,1.82423,0.02094256382978732,176.77789031496482,2.0530183804080155,0,0,0,184,sweep_20260731_145838,map,100,1
150,200,6,0,30.0,150.9050824742268,0.6946640670103094,4.603317897718598,100.6,0.6735825,148.81,4.526459915328271,0.10023581182499999,4.71097322011757,2092.780021,2092.980021,2026-07-31T19:33:28.766021+00:00,16.001702409977042,-4161.366174490074,1.8192763915343915,1.830208,0.010931608465608589,178.34530199927318,1.0716354162615538,0,0,0,194,sweep_20260731_145838,map,100,1
250,200,1,1,30.0,250.1525670103093,1.138865494845361,4.552683622065033,100.1,1.131931,252.92950000000002,4.475282638047361,0.28629874186450005,4.551821789492627,2155.628423,2155.828423,2026-07-31T19:34:31.663334+00:00,158.51493343536822,-4355.617490699097,1.7613339627659574,1.813495,0.05216103723404264,172.665153559287,5.11339342465425,0,0,0,194,sweep_20260731_145838,map,100,1
