t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,stage_mm
2.8399973,-3780.9793,0.21860156,0.50222002,0.13419716,3.6742236,79.999979
2.8499973,-3782.2838,0.21885117,0.50300621,0.13243621,3.7328963,79.999979
2.8599973,-3780.4498,0.21824252,0.50379239,0.13067525,3.7915689,79.999979
2.8699973,-3777.4057,0.21866098,0.50457858,0.12891429,3.8502416,79.999979
2.8799973,-3782.0939,0.21873332,0.50536476,0.12715334,3.9089142,79.999979
2.8899972,-3773.7109,0.21882636,0.50615095,0.12539238,3.9675869,79.999979
2.8999972,-3775.7542,0.21870025,0.50693713,0.12363142,4.0262596,79.999979
2.9099972,-3778.3941,0.21836248,0.50772331,0.12187047,4.0849322,79.999979
2.9199972,-3776.3216,0.21832555,0.5085095,0.12010951,4.1436049,79.999979
2.9299972,-3776.3691,0.21832328,0.50929568,0.11834855,4.2022775,79.999979
2.9399972,-3777.1849,0.21873433,0.50924196,0.11885446,4.2059777,79.999979
2.9499972,-3775.7089,0.2186419,0.50870714,0.12139318,4.1339261,79.999979
2.9599972,-3775.7501,0.2187898,0.50817233,0.12393191,4.0618746,79.999979
2.9699972,-3775.8177,0.21870823,0.50763752,0.12647063,3.989823,79.999979
2.9799972,-3770.7813,0.21864202,0.50710271,0.12900936,3.9177715,79.999979
2.9899971,-3774.9033,0.21872566,0.50656789,0.13154808,3.8457199,79.999979
2.9999971,-3772.5164,0.21874626,0.50603308,0.13408681,3.7736684,79.999979
3.0099971,-3772.7333,0.21868774,0.50549827,0.13662553,3.7016169,79.999979
3.0199971,-3770.9177,0.2187117,0.50496345,0.13916426,3.6295653,79.999979
3.0299971,-3770.9177,0.21873567,0.50442864,0.14170298,3.5575138,79.999979
3.0399971,-3770.5361,0.2188839,0.50389383,0.14424171,3.4854622,79.999979
3.0499971,-3769.1506,0.21867266,0.50335902,0.14678043,3.4134107,79.999979
3.0599971,-3769.006,0.218788,0.5028242,0.14931916,3.3413591,79.999979
3.0699971,-3767.1271,0.21828972,0.50228939,0.15185788,3.2693076,79.999979
3.0799971,-3770.0527,0.21806322,0.50175458,0.15439661,3.197256,79.999979
3.0899971,-3770.0176,0.21793098,0.50121976,0.15693533,3.1252045,79.999979
3.099997,-3768.1897,0.21784987,0.50068495,0.15947406,3.053153,79.999979
3.109997,-3769.3297,0.21836807,0.49961582,0.16002291,3.0223683,79.999979
3.119997,-3767.7668,0.21876108,0.49799388,0.15851306,3.044426,79.999979
3.129997,-3766.3533,0.21799184,0.49637194,0.1570032,3.0664837,79.999979
3.139997,-3767.9677,0.2188068,0.49475,0.15549335,3.0885414,79.999979
3.149997,-3768.5443,0.21883336,0.49312806,0.1539835,3.1105991,79.999979
3.159997,-3767.9131,0.218632,0.49150612,0.15247365,3.1326567,79.999979
3.169997,-3766.5789,0.21862176,0.48988418,0.1509638,3.1547144,79.999979
3.179997,-3763.6656,0.21820582,0.48826225,0.14945395,3.1767721,79.999979
3.189997,-3762.7169,0.21853993,0.48664031,0.14794409,3.1988298,79.999979
3.1999969,-3764.2325,0.21910955,0.48501837,0.14643424,3.2208875,79.999979
3.2099969,-3763.791,0.21965655,0.48339643,0.14492439,3.2429452,79.999979
3.2199969,-3761.7906,0.21949732,0.48177449,0.14341454,3.2650029,79.999979
3.2299969,-3763.0864,0.21840557,0.48015255,0.14190469,3.2870606,79.999979
3.2399969,-3763.1032,0.21873718,0.47853061,0.14039484,3.3091183,79.999979
3.2499969,-3760.2936,0.21907139,0.47927276,0.1395625,3.3300921,79.999979
3.2599969,-3760.2885,0.21806942,0.4817724,0.13948531,3.3492461,79.999979
3.2699969,-3760.7636,0.2182021,0.48427204,0.13940812,3.3684001,79.999979
3.2799969,-3760.9581,0.21833478,0.48677168,0.13933092,3.3875542,79.999979
3.2899969,-3763.6557,0.21848995,0.48927132,0.13925373,3.4067082,79.999979
