pass_index,sweep_index,direction,displacement_mm,stage_actual_mm,expected_force_mN,timestamp_us,voltage_V,raw_code,adc_source
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56762000,0.92132800,395707406,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56764000,0.92084600,395500392,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56766000,0.92084600,395500392,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56768000,0.92036200,395292391,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56770000,0.92022000,395231395,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56772000,0.92067300,395426202,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56774000,0.92106200,395593229,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56776000,0.92106200,395593229,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56778000,0.92130100,395695617,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56780000,0.92142400,395748571,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56782000,0.92067700,395427602,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56784000,0.92017800,395213586,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56786000,0.92033900,395282618,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56788000,0.92033900,395282618,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56790000,0.92075300,395460576,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56792000,0.92133400,395710015,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56794000,0.92143900,395754841,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56796000,0.92143900,395754841,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56798000,0.92114100,395626940,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56800000,0.92072400,395447980,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56802000,0.92052600,395362726,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56804000,0.92063000,395407545,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56806000,0.92091600,395530414,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56808000,0.92091600,395530414,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56810000,0.92129700,395694188,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56812000,0.92128600,395689400,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56814000,0.92093700,395539349,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56816000,0.92065100,395416531,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56818000,0.92065100,395416531,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56820000,0.92018300,395215643,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56822000,0.92073800,395453956,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56824000,0.92126200,395678952,1
