t_rel_s,displacement_um,force_N,stage_mm
13.859987,-4957.9648,0.21644895,79.999979
13.869987,-4958.759,0.21498736,79.999979
13.879987,-4957.5606,0.21546126,79.999979
13.889987,-4957.2341,0.21664412,79.999979
13.899987,-4956.966,0.2161601,79.999979
13.909987,-4960.0355,0.21657785,79.999979
13.919987,-4958.5053,0.21559524,79.999979
13.929987,-4959.4009,0.21570553,79.999979
13.939987,-4957.192,0.21592236,79.999979
13.949987,-4956.9691,0.21613919,79.999979
13.959987,-4960.1657,0.21616438,79.999979
13.969987,-4957.9748,0.21662599,79.999979
13.979987,-4957.8543,0.21692753,79.999979
13.989987,-4956.8111,0.21560294,79.999979
13.999987,-4956.7715,0.21570632,79.999979
14.009987,-4956.7715,0.21582289,79.999979
14.019987,-4960.4791,0.21560935,79.999979
14.029987,-4957.2097,0.21561284,79.999979
14.039987,-4957.7841,0.21580825,79.999979
14.049987,-4957.7657,0.21520185,79.999979
14.059987,-4957.5329,0.21631664,79.999979
14.069987,-4957.933,0.21657801,79.999979
14.079987,-4960.5957,0.21559015,79.999979
14.089987,-4959.2079,0.21603405,79.999979
14.099987,-4957.0527,0.21664283,79.999979
14.109987,-4959.4189,0.2161627,79.999979
14.119987,-4957.5876,0.21620504,79.999979
14.129987,-4958.073,0.21627453,79.999979
14.139987,-4959.7159,0.21639673,79.999979
14.149987,-4960.3867,0.21698867,79.999979
14.159986,-4960.4626,0.21581718,79.999979
14.169986,-4959.2342,0.21639042,79.999979
14.179986,-4957.4954,0.21651015,79.999979
14.189986,-4957.7875,0.21655899,79.999979
14.199986,-4959.3837,0.21614243,79.999979
14.209986,-4958.9581,0.21561175,79.999979
14.219986,-4957.1135,0.21576422,79.999979
14.229986,-4960.3535,0.2162217,79.999979
14.239986,-4957.9285,0.21578577,79.999979
14.249986,-4958.3644,0.21578577,79.999979
14.259986,-4959.728,0.21568167,79.999979
14.269986,-4960.4137,0.21528444,79.999979
14.279986,-4956.9594,0.21586293,79.999979
14.289986,-4960.641,0.21662096,79.999979
14.299986,-4958.1765,0.21630468,79.999979
14.309986,-4958.2782,0.21484761,79.999979
14.319986,-4957.4372,0.21490537,79.999979
14.329986,-4957.7523,0.21508926,79.999979
14.339986,-4956.9383,0.21734198,79.999979
14.349986,-4958.2172,0.21617106,79.999979
14.359986,-4957.7397,0.21637858,79.999979
14.369986,-4958.224,0.21559783,79.999979
14.379986,-4958.1524,0.21619156,79.999979
14.389986,-4958.6369,0.21637975,79.999979
14.399986,-4960.7933,0.216501,79.999979
14.409986,-4960.2335,0.21567123,79.999979
14.419986,-4957.1858,0.21570769,79.999979
14.429986,-4957.6398,0.21568343,79.999979
14.439986,-4958.9506,0.21586154,79.999979
14.449986,-4960.4142,0.21556916,79.999979
14.459986,-4959.742,0.21513738,79.999979
14.469986,-4960.6,0.21567895,79.999979
14.479986,-4956.6831,0.21567597,79.999979
14.489986,-4959.1693,0.21606479,79.999979
14.499986,-4958.9864,0.21592169,79.999979
14.509986,-4960.4299,0.21595494,79.999979
14.519986,-4960.0473,0.21604954,79.999979
14.529986,-4958.5358,0.21501333,79.999979
14.539986,-4957.3822,0.21587851,79.999979
14.549986,-4959.3479,0.21551817,79.999979
14.559986,-4959.2457,0.21578442,79.999979
14.569986,-4960.6767,0.21604702,79.999979
14.579986,-4960.6767,0.21604702,79.999979
14.589986,-4958.0111,0.21637316,79.999979
14.599986,-4960.7149,0.21615446,79.999979
14.609986,-4960.7423,0.21528972,79.999979
14.619986,-4958.2376,0.21625735,79.999979
14.629986,-4960.2589,0.21610393,79.999979
14.639986,-4958.8864,0.21610965,79.999979
14.649986,-4958.242,0.21607094,79.999979
14.659986,-4957.7243,0.21526938,79.999979
14.669986,-4960.6825,0.21540381,79.999979
14.679986,-4958.3821,0.21613219,79.999979
14.689986,-4958.9807,0.21585886,79.999979
14.699986,-4957.6627,0.21610545,79.999979
14.709986,-4957.0492,0.21622261,79.999979
14.719986,-4957.1137,0.21548461,79.999979
14.729986,-4958.8393,0.21585497,79.999979
14.739986,-4958.0527,0.21697653,79.999979
14.749986,-4957.5899,0.21639424,79.999979
14.759986,-4957.2369,0.21615546,79.999979
14.769986,-4956.8839,0.21594587,79.999979
14.779986,-4959.5783,0.21512848,79.999979
