Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(mN)
"13.7600","13.7077","419.4059"
"13.7800","13.7283","419.9830"
"13.8000","13.7494","420.4511"
"13.8200","13.7694","421.1226"
"13.8400","13.7884","421.9303"
"13.8600","13.8081","422.3722"
"13.8800","13.8284","423.3105"
"13.9000","13.8494","423.4360"
"13.9200","13.8695","423.9910"
"13.9400","13.8882","424.9320"
"13.9600","13.9079","425.5702"
"13.9800","13.9280","425.9923"
"14.0000","13.9482","426.9790"
"14.0200","13.9687","427.4575"
"14.0400","13.9884","427.8587"
"14.0600","14.0081","428.7909"
"14.0800","14.0285","429.1109"
"14.1000","14.0489","430.0204"
"14.1200","14.0695","430.7863"
"14.1400","14.0890","431.4106"
"14.1600","14.1083","431.9501"
"14.1800","14.1281","432.4054"
"14.2000","14.1481","433.1902"
"14.2200","14.1690","433.7971"
"14.2400","14.1898","434.1174"
"14.2600","14.2097","434.8609"
"14.2800","14.2294","435.2677"
"14.3000","14.2488","435.9831"
"14.3200","14.2688","436.4532"
"14.3400","14.2887","437.0635"
"14.3600","14.3081","437.8594"
"14.3800","14.3282","438.3290"
"14.4000","14.3480","439.1898"
"14.4200","14.3683","439.8309"
"14.4400","14.3890","440.3427"
"14.4600","14.4092","441.0110"
"14.4800","14.4291","441.6233"
"14.5000","14.4486","442.2778"
"14.5200","14.4679","443.1949"
"14.5400","14.4879","443.7293"
"14.5600","14.5079","443.9978"
"14.5800","14.5286","444.5360"
"14.6000","14.5492","445.2965"
"14.6200","14.5690","446.2488"
"14.6400","14.5892","446.5082"
"14.6600","14.6094","447.2337"
"14.6800","14.6295","447.8793"
"14.7000","14.6498","448.3433"
"14.7200","14.6698","449.0558"
"14.7400","14.6899","449.4890"
"14.7600","14.7093","449.8073"
"14.7800","14.7285","450.8045"
"14.8000","14.7488","451.3342"
"14.8200","14.7693","451.9912"
"14.8400","14.7899","452.7997"
"14.8600","14.8099","453.3707"
"14.8800","14.8297","454.3405"
"14.9000","14.8501","454.6413"
"14.9200","14.8698","455.2819"
"14.9400","14.8894","456.0981"
"14.9600","14.9094","456.5287"
"14.9800","14.9291","457.1980"
"15.0000","14.9492","457.7434"
"15.0200","14.9688","458.5122"
"15.0400","14.9885","459.1122"
"15.0600","15.0089","459.3832"
"15.0800","15.0287","459.9347"
"15.1000","15.0484","460.9111"
"15.1200","15.0682","461.2176"
"15.1400","15.0880","461.8620"
"15.1600","15.1085","462.4871"
"15.1800","15.1287","463.2904"
"15.2000","15.1487","464.0525"
"15.2200","15.1690","464.6336"
"15.2400","15.1889","465.1953"
"15.2600","15.2089","465.8085"
"15.2800","15.2289","466.7303"
"15.3000","15.2489","467.1915"
"15.3200","15.2690","467.4869"
"15.3400","15.2885","468.4712"
"15.3600","15.3086","469.0210"
"15.3800","15.3294","469.4005"
"15.4000","15.3494","470.0933"
"15.4200","15.3692","470.6512"
"15.4400","15.3887","471.6826"
"15.4600","15.4086","472.2006"
"15.4800","15.4292","472.6579"
"15.5000","15.4493","473.2866"
"15.5200","15.4696","473.9658"
