wall_us,step,phase,fw_t_us,src,seq,hw_us,raw_code,voltage_V,stage_mm
308774093000,1,static,13081000,1,,,2129333211,4.95774000,9.999960
308774109000,1,static,13082000,2,,,67740,0.04037600,9.999960
308774109000,1,static,13083000,1,,,2129333211,4.95774000,9.999960
308774109000,1,static,13084000,2,,,68800,0.04100800,9.999960
308774109000,1,static,13085000,1,,,2129247719,4.95754100,9.999960
308774109000,1,static,13086000,2,,,69620,0.04149700,9.999960
308774109000,1,static,13087000,1,,,2129408769,4.95791600,9.999960
308774109000,1,static,13088000,2,,,69620,0.04149700,9.999960
308774109000,1,static,13089000,1,,,2129460714,4.95803700,9.999960
308774109000,1,static,13090000,2,,,69070,0.04116900,9.999960
308774109000,1,static,13091000,1,,,2129025279,4.95702300,9.999960
308774109000,1,static,13092000,2,,,69070,0.04116900,9.999960
308774109000,1,static,13093000,1,,,2129025279,4.95702300,9.999960
308774109000,1,static,13094000,2,,,68110,0.04059700,9.999960
308774109000,1,static,13095000,1,,,2128994385,4.95695200,9.999960
308774125000,1,static,13096000,2,,,67570,0.04027500,9.999960
308774125000,1,static,13097000,1,,,2129399066,4.95789300,9.999960
308774125000,1,static,13098000,2,,,68420,0.04078100,9.999960
308774125000,1,static,13099000,1,,,2129320847,4.95771100,9.999960
308774125000,1,static,13100000,2,,,68840,0.04103200,9.999960
308774125000,1,static,13101000,1,,,2129472340,4.95806400,9.999960
308774125000,1,static,13102000,2,,,69580,0.04147300,9.999960
308774125000,1,static,13103000,1,,,2129472340,4.95806400,9.999960
308774125000,1,static,13104000,2,,,69580,0.04147300,9.999960
308774125000,1,static,13105000,1,,,2129568594,4.95828800,9.999960
308774125000,1,static,13106000,2,,,69780,0.04159200,9.999960
