=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 18:54:53 =~=~=~=~=~=~=~=~=~=~=~=
── Commands ────────────────────────────────
  a  10 Hz  sine @ 400 SPS  (4000 samples)
  b  50 Hz  sine @ 400 SPS  (4000 samples)
  c  100 Hz sine @ 400 SPS  (4000 samples)
  d  100 Hz sine @ 1200 SPS (4000 samples)
  e  100 Hz sine @ 2400 SPS (4000 samples)
  r  Single reading
  h  Help
────────────────────────────────────────────
Waveform gen: 2.0Vpp sine, 1.2V offset
AIN0 = signal, AIN1 = GND
CSV output between CSV_START/CSV_END markers
Paste into Python script for amplitude/frequency analysis


══ Test C: 100 Hz @ 2400 SPS
   Signal: 2.0Vpp sine, 1.2V offset, 100 Hz
   Collecting 4000 samples at 400 SPS (poll mode)...

── CSV_START ────────────────────────────────
index,time_ms,voltage_V
  Sanity check: 1.8005 V  (should be ~1.2V if generator connected)

996,1208,2.172157
997,1209,2.135559
998,1210,1.632231
999,1211,1.127714
1000,1212,0.642449
1001,1213,0.224223
1002,1214,0.260654
1003,1215,0.764105
1004,1216,1.268160
1005,1218,2.172208
1006,1219,2.020051
1007,1220,1.848444
1008,1221,1.128094
1009,1223,0.224223
1010,1224,0.376239
1011,1225,0.547912
1012,1226,1.267775
1013,1227,1.753105
1014,1228,2.171901
1015,1229,2.020476
1016,1231,1.128482
1017,1232,0.449107
1018,1234,0.260286
1019,1235,0.763463
1020,1236,1.267366
1021,1237,1.946876
1022,1238,2.171987
1023,1239,2.136265
1024,1240,1.849533
1025,1241,1.129509
1026,1242,0.449628
1027,1244,0.260095
1028,1245,0.762934
1029,1247,1.752856
1030,1248,2.171713
1031,1249,2.136153
1032,1250,1.633778
1033,1251,1.129658
1034,1253,0.224446
1035,1254,0.374855
1036,1256,1.266102
1037,1257,1.946160
1038,1258,2.171971
1039,1259,2.136612
1040,1260,1.634394
1041,1262,0.644505
1042,1263,0.225133
1043,1265,0.762042
1044,1266,1.265689
1045,1267,1.751636
1046,1268,2.171796
1047,1269,2.136660
1048,1270,1.850292
1049,1271,1.130524
